Id;Gruppe
92;Indikator for konkurrenceudsættelse på hkt 3 (pct.)
93;Indikator for konkurrenceudsættelse på hkt 4 (pct.)
94;Indikator for konkurrenceudsættelse på hkt 5 (pct.)
95;Indikator for konkurrenceudsættelse på hkt 6 (pct.)
96;Udg. (brutto) til dagtilbud pr. 0-13-årig
97;Udg. (netto) til dagtilbud pr. 0-13-årig
98;Udg. til søskenderabat og fripladser pr. 0-10-årig
99;Udg. til private pasningsordninger pr. 0-10-årig
100;Pladser i dagpasning i alt pr. 100 0-10-årige
101;Pladser i dagpleje pr. 100 0-2-årige
102;Pladser i daginstitutioner pr. 100 0-2-årige
103;Pladser i daginstitutioner pr. 100 3-5-årige
104;Pladser i fritidshjem pr. 100 6-9-årige
105;Pladser i SFO pr. 100 6-13-årige
106;Antal købte pladser i dagtilbud over kom.grænser
107;Antal solgte pladser i dagtilbud over kom.grænser
108;Månedlig takst for dagplejeplads for 0-2-årige
109;Månedlig takst for daginstitutionsplads for 0-2-årige
110;Månedlig takst for daginstitutionsplads for 3-5-årige
111;Mdl. takst for fritidshjemsplads for 6-9-årige
112;Månedl. takst for SFO for 6-9-årige
113;Månedl. takst for SFO for 10-13-årige
114;Undervisningsudgifter pr. 6-16-årig
115;Udg. til folkeskolen pr. 6-16-årig
116;Udg. til folkeskolen pr. elev
117;Antal folkeskoler
118;Antal normalklasser
119;Gennemsnitlig skolestørrelse
120;Gennemsnitlig klassekvotient
121;Udg. til privatskoler, efterskoler m.fl. pr. 6-16-årig
122;Privatskoleelever pr. 100 elever
123;Biblioteksudgifter pr. indb.
124;Udg. til bøger og udlånsmaterialer pr. indb.
125;Antal biblioteker
126;Biblioteksudlån pr. indb.
127;Personale i alt ved folkebiblioteker pr. 1.000 indb.
128;Udg. til kultur pr. indb.
129;Udg. til sport og fritid pr. indb.
130;Udgifter til ældre pr. 67+-årig
131;Udg. til ældre samt voksne m. særl. behov pr. 18+-årig
132;Udg. til boligydelse pr. pensionist
133;Boligydelsesmodtagere pr. 100 husstande
134;Pladser i plejehjem/pl.centre pr. 1.000 65+/67+-årige
135;Plejeboliger pr. 1.000 65+/67+-årige
136;Ældreboliger pr. 1.000 65+/67+-årige
137;Pladser i beskyttede boliger pr. 1.000 65+/67+-årige
138;Betaling for udbragt mad pr. dag (abs)
139;Betaling for forplejning i plejebolig mv. pr mnd (abs)
140;Betaling for aflastn.ophold pr. døgn (abs) (til 2018)
141;Udg. til forsørgelse (netto) pr. 17-64/66-årig
142;Udg. til børn og unge med særlige behov pr. 0-17-årig
143;Udg. til voksne med særlige behov pr. 18-66-årig
144;Udg. til introduktionsforløb for udlændinge pr. indb.
145;Udg. til sygedagpenge pr. 17-64/66-årig
146;Boligsikr.udg. pr. 17-64/66-årig
147;Boligsikringsmodtagere pr. 100 husstande
148;Udg. til førtidspension pr. 17-64/66-årig
149;Førtidspensionister pr. 100 17-64/66-årige
150;Udg. til kontanthjælp og revalidering pr 17-64/66-årig
151;Kontanthjælpsmodtagere mv. pr. 100 17-64-årige
152;Udg. til aktivering pr. 17-64/66-årig
153;Udgiftsbehov (landet) pr. indb. (til 2020)
154;Udgiftsbehov (hovedstaden) pr. indb. (til 2020)
155;Grundværdier pr. indb. (til 2022)
156;Serviceniveau (gns=1,00) (til 2018)
157;Skat/service-forhold (gns 1,00) (til 2018)
158;Dækn.afg.prm. af andre off. ejd. forsk.v. (til 2021)
159;Kom.s forventning til serviceudg. pr. indb. (til 2016)
160;Halvårsstatus for serviceudgifter pr. indb. (til 2017)
161;Samlet amts- og primærkom. udskrivn.pct. (til 2006)
162;Beskatningsniveau (pct.) (til 2022)
163;Statsgar. udskrivningsgrundlag pr. indb. (til 2006)
164;Budgetteret udskrivningsgrundlag pr. indb. (til 2006)
165;Beskatningsgrundlag pr. indb. (til 2022)
166;Beskatningsgrl. efter udligning pr. indb. (til 2006)
167;Udg. til forsyningsvirksomhed pr. indb. (til 2010)
168;Bruttoanlægsudg. til fors.virks. pr. indb. (til 2010)
169;Udg. til admininistration pr. indb. (til 2012)
170;Udliciteringsindikator (pct.) (til 2006)
171;Privat-leverandør-indik. (pct.) (gl. def.) (til 2010)
172;Tilskud til pasning af egne børn? (til 2017)
173;Pladser i vuggestuer pr. 100 0-2-årige (til 2012)
174;Pladser i børnehaver pr. 100 3-5-årige (til 2012)
175;Pladser i aldersint. inst. pr. 100 0-9-årig (til 2012)
176;Mdl. takst for vuggestueplads for 0-2-årige (til 2012)
177;Mdl. takst for børnehaveplads for 3-5-årige (til 2012)
178;Mdl. takst for plads i int. inst. (0-2 år) (til 2012)
179;Mdl. takst for plads i int. inst. (3-5 år) (til 2012)
180;Mdl. takst for frit.hj.pl (6-9) eft. ref. (kun 2014)
181;Månedl. takst for SFO (6-9) efter skoleref. (kun 2014)
182;Månedl. takst for SFO (10-13) eft. skoleref.(kun 2014)
183;Indikator for konk.uds. (pct.) (gl. def.) (til 2010)
184;Vandafledningsafgift pr. m3 (abs) (til 2010)
185;Fast årlig vandafledningsafgift (abs) (til 2010)
186;Tilslutningsbidrag til vandforsyning (abs) (til 2010)
187;Målerafgift til vandforsyning (abs) (til 2010)
188;Vandforbrugsafgift pr. m3 (abs) (til 2010)

